index,problematic_features
1750,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1752,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1755,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1767,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1793,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1803,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
1810,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1817,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1825,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1832,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1845,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1863,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1885,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1909,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1941,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1943,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1944,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1954,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
1972,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1983,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
1984,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1997,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
1999,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2027,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2028,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2044,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2046,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2055,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2095,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2101,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2119,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2121,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2135,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2194,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2195,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2211,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2257,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']
2260,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2285,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2300,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2321,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2345,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2348,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2380,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2386,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2420,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2477,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2490,"['⚠️  Smoker=1 reduced risk (SHAP -0.013)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
2517,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2528,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2552,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2589,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2633,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2661,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2697,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
2706,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2716,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2718,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2722,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2733,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2745,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2798,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2801,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
2807,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2849,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2858,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.059)']
2860,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2875,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2906,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2918,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
2972,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
2984,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3044,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3107,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3113,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3148,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3159,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
3198,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3241,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3257,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3262,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3267,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3343,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3353,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3377,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3382,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3398,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3509,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3519,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3538,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3548,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3575,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3592,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3642,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3657,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3703,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3708,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3712,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3725,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3731,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
3763,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3795,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3819,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
3873,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3898,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3902,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3931,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3939,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3950,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3976,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3984,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
3986,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
3992,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4020,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4035,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4074,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4135,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4159,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4163,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4194,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4256,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4259,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4316,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4318,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4360,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4385,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
4412,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4434,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
4446,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
